STAID,STANAME,CN,LAT,LON,HGHT
2576,KONGSBERG BRANNSTASJON,NO,59.624444,9.637778,170
2578,NESBYEN II,NO,60.566667,9.133056,165
2579,ROROS AIRPORT,NO,62.576944,11.351667,625
2581,ONA,NO,62.866667,6.55,11
2582,ONA HUSOY,NO,62.866667,6.533056,8
2589,RYGGE,NO,58.383056,10.788056,40
2590,SARPSBORG,NO,59.285556,11.114444,57
2600,TRYVASSHOGDA,NO,59.984444,10.669167,514
2603,DREVSJO,NO,61.886944,12.048056,672
2605,KISE PA HEDMARK,NO,60.780556,10.811667,128
2620,OSTRE TOTEN - APELSVOLL,NO,60.7,10.866667,264
2656,KJEVIK,NO,58.200278,8.068056,12
2669,OBRESTAD FYR,NO,58.659167,5.555278,24
2671,STAVANGER - VALAND,NO,58.956944,5.73,72
2685,SLATTEROY FYR,NO,59.908056,5.068056,25
2707,NORDDAL,NO,62.247778,7.241389,28
2709,ORSKOG,NO,62.478889,6.82,4
2720,TRONDHEIM - VOLL,NO,63.410556,10.453333,127
2727,NORDOYAN FYR,NO,64.797778,10.549167,33
2733,BODOE - VAGONES,NO,67.283056,14.466667,33
2750,TORSVAG FYR,NO,70.245556,19.500556,21
